frame_id,time,country_code,scraped_weather,collection_car,road_type,road_condition,time_of_day,num_lane_instances,num_vehicles,num_vulnerable_vehicles,num_pedestrians,num_traffic_lights,num_traffic_signs,longitude,latitude,solar_angle_elevation
2,2021-04-18T16:04:19.891679Z,PL,cloudy,india,city,normal,day,17.0,3.0,23.0,27.0,17.0,47.0,21.030445645106088,52.239373171498464,13.700386768090723
5,2021-04-29T13:17:57.999021Z,PL,cloudy,india,city,normal,day,0.0,40.0,4.0,9.0,10.0,18.0,21.02016397130492,52.21191661037278,40.51048789347493
13,2021-04-15T11:36:01.776342Z,PL,rain,india,city,wet,day,2.0,10.0,9.0,18.0,20.0,37.0,20.992058528061428,52.24387136236378,46.1520429576821
15,2021-04-19T09:57:07.218111Z,PL,partly-cloudy-day,india,city,normal,day,10.0,24.0,10.0,6.0,10.0,45.0,20.9814532850696,52.253232421229136,48.50256960153061
17,2021-04-29T11:35:28.224242Z,PL,cloudy,india,city,normal,day,4.0,23.0,3.0,18.0,1.0,11.0,21.021681799685943,52.17312310497391,50.62524202785573
18,2021-04-18T15:47:42.108831Z,PL,cloudy,india,city,normal,day,24.0,11.0,8.0,34.0,34.0,44.0,21.02119405995389,52.231419831423146,16.233728705245625
19,2021-04-17T10:03:22.667175Z,PL,cloudy,india,city,wet,day,6.0,6.0,1.0,23.0,9.0,24.0,20.9858791123351,52.26850734422118,47.99710348941085
26,2021-04-19T10:27:12.781551Z,PL,partly-cloudy-day,india,city,normal,day,2.0,35.0,3.0,18.0,6.0,19.0,21.00404473873477,52.22404718723913,49.23174988652429
35,2021-04-29T08:04:49.004472Z,PL,cloudy,india,city,normal,day,4.0,17.0,19.0,7.0,4.0,38.0,21.083434558329905,52.24458811157459,42.22232154561747
37,2021-05-04T14:48:59.667930Z,PL,cloudy,golf,city,normal,day,9.0,27.0,13.0,34.0,44.0,37.0,21.007873049898816,52.235064468792544,28.707696432390584
59,2021-04-26T05:50:57.772772Z,PL,clear-day,golf,city,normal,day,7.0,27.0,26.0,5.0,18.0,60.0,21.031962097998,52.20708580796004,22.469413832023704
62,2021-04-18T15:38:09.999601Z,PL,cloudy,india,city,normal,day,6.0,14.0,4.0,15.0,0.0,27.0,21.01831294761428,52.219988054984825,17.655395250079252
67,2021-04-28T08:02:11.110844Z,PL,clear-day,india,city,normal,day,0.0,30.0,10.0,12.0,38.0,25.0,21.00729215111715,52.23493059700697,41.66614746813188
73,2021-04-18T16:56:39.111230Z,PL,cloudy,india,city,normal,day,14.0,20.0,3.0,5.0,27.0,53.0,20.92966419614051,52.22373635862433,5.945264814362673
77,2021-04-29T13:17:14.664964Z,PL,cloudy,india,city,normal,day,10.0,49.0,5.0,12.0,10.0,16.0,21.020876636932694,52.2109005301375,40.51048789347493
78,2021-04-19T10:52:50.108248Z,PL,partly-cloudy-day,india,city,normal,day,4.0,25.0,2.0,25.0,26.0,29.0,20.98328070240637,52.254695699534594,49.103395798965536
80,2021-04-29T11:35:32.224360Z,PL,cloudy,india,city,normal,day,6.0,15.0,3.0,19.0,9.0,14.0,21.02126936417922,52.17312691832051,50.62524202785573
84,2021-04-26T06:08:59.883888Z,PL,clear-day,golf,city,normal,day,18.0,7.0,11.0,12.0,25.0,35.0,21.026274942710646,52.23716428720445,25.19192856036095
86,2021-04-29T07:43:44.217331Z,PL,cloudy,india,city,normal,day,9.0,31.0,2.0,21.0,33.0,49.0,20.986909833255584,52.23987156732602,39.53430632506669
88,2021-04-27T08:55:15.557807Z,PL,partly-cloudy-day,golf,city,normal,day,3.0,19.0,4.0,24.0,20.0,36.0,21.03577145258794,52.253938296933725,47.08937617120269
